Pools	PopA	PopO	PopC	PopX	Estimate
Pool1,Pool2;Pool3,Pool4	CYP_1	EBAT_1	EBHU_1	EBPL_1	-2.0693763421342198e-05
Pool1,Pool2;Pool3,Pool5	CYP_1	EBAT_1	EBHU_1	EERU_1	-0.00132427526279993
Pool1,Pool2;Pool3,Pool6	CYP_1	EBAT_1	EBHU_1	EERU_2	-0.0018286777003831398
Pool1,Pool2;Pool3,Pool7	CYP_1	EBAT_1	EBHU_1	EEUA_1	0.000531025383291694
Pool1,Pool2;Pool3,Pool8	CYP_1	EBAT_1	EBHU_1	EEUA_2	0.00120141191762496
Pool1,Pool2;Pool3,Pool9	CYP_1	EBAT_1	EBHU_1	TRK_1	-0.004616968862137471
Pool1,Pool2;Pool3,Pool10	CYP_1	EBAT_1	EBHU_1	WBDE_1	-0.00339678693761797
Pool1,Pool2;Pool3,Pool11	CYP_1	EBAT_1	EBHU_1	WBIT_1	-0.0024905579666104102
Pool1,Pool2;Pool3,Pool12	CYP_1	EBAT_1	EBHU_1	WEES_1	-0.00431834121726915
Pool1,Pool2;Pool3,Pool13	CYP_1	EBAT_1	EBHU_1	WEES_2	-0.00484025269067084
Pool1,Pool2;Pool3,Pool14	CYP_1	EBAT_1	EBHU_1	WEFR_1	-0.0030637947610786
Pool1,Pool2;Pool3,Pool15	CYP_1	EBAT_1	EBHU_1	WEFR_2	-0.00292212818861376
Pool1,Pool2;Pool3,Pool16	CYP_1	EBAT_1	EBHU_1	CNXJ	-0.0047189453806862295
Pool1,Pool2;Pool3,Pool17	CYP_1	EBAT_1	EBHU_1	CnOther	-0.005389769136326611
Pool1,Pool2;Pool3,Pool18	CYP_1	EBAT_1	EBHU_1	CnQTP	-0.00483429209037473
Pool1,Pool2;Pool3,Pool19	CYP_1	EBAT_1	EBHU_1	ISR	-0.00545691896910216
Pool1,Pool2;Pool3,Pool20	CYP_1	EBAT_1	EBHU_1	DGN	-0.00808858996874257
Pool1,Pool2;Pool3,Pool21	CYP_1	EBAT_1	EBHU_1	DrosSim	-0.00479680910204205
Pool1,Pool2;Pool4,Pool5	CYP_1	EBAT_1	EBPL_1	EERU_1	-0.00130358149937859
Pool1,Pool2;Pool4,Pool6	CYP_1	EBAT_1	EBPL_1	EERU_2	-0.0018079839369618
Pool1,Pool2;Pool4,Pool7	CYP_1	EBAT_1	EBPL_1	EEUA_1	0.000551719146713037
Pool1,Pool2;Pool4,Pool8	CYP_1	EBAT_1	EBPL_1	EEUA_2	0.0012221056810463
Pool1,Pool2;Pool4,Pool9	CYP_1	EBAT_1	EBPL_1	TRK_1	-0.004596275098716129
Pool1,Pool2;Pool4,Pool10	CYP_1	EBAT_1	EBPL_1	WBDE_1	-0.00337609317419663
Pool1,Pool2;Pool4,Pool11	CYP_1	EBAT_1	EBPL_1	WBIT_1	-0.00246986420318906
Pool1,Pool2;Pool4,Pool12	CYP_1	EBAT_1	EBPL_1	WEES_1	-0.00429764745384781
Pool1,Pool2;Pool4,Pool13	CYP_1	EBAT_1	EBPL_1	WEES_2	-0.0048195589272495
Pool1,Pool2;Pool4,Pool14	CYP_1	EBAT_1	EBPL_1	WEFR_1	-0.00304310099765726
Pool1,Pool2;Pool4,Pool15	CYP_1	EBAT_1	EBPL_1	WEFR_2	-0.00290143442519242
Pool1,Pool2;Pool4,Pool16	CYP_1	EBAT_1	EBPL_1	CNXJ	-0.00469825161726489
Pool1,Pool2;Pool4,Pool17	CYP_1	EBAT_1	EBPL_1	CnOther	-0.0053690753729052606
Pool1,Pool2;Pool4,Pool18	CYP_1	EBAT_1	EBPL_1	CnQTP	-0.00481359832695338
Pool1,Pool2;Pool4,Pool19	CYP_1	EBAT_1	EBPL_1	ISR	-0.005436225205680821
Pool1,Pool2;Pool4,Pool20	CYP_1	EBAT_1	EBPL_1	DGN	-0.00806789620532122
Pool1,Pool2;Pool4,Pool21	CYP_1	EBAT_1	EBPL_1	DrosSim	-0.0047761153386207105
Pool1,Pool2;Pool5,Pool6	CYP_1	EBAT_1	EERU_1	EERU_2	-0.000504402437583207
Pool1,Pool2;Pool5,Pool7	CYP_1	EBAT_1	EERU_1	EEUA_1	0.0018553006460916301
Pool1,Pool2;Pool5,Pool8	CYP_1	EBAT_1	EERU_1	EEUA_2	0.0025256871804249
Pool1,Pool2;Pool5,Pool9	CYP_1	EBAT_1	EERU_1	TRK_1	-0.00329269359933754
Pool1,Pool2;Pool5,Pool10	CYP_1	EBAT_1	EERU_1	WBDE_1	-0.00207251167481803
Pool1,Pool2;Pool5,Pool11	CYP_1	EBAT_1	EERU_1	WBIT_1	-0.00116628270381047
Pool1,Pool2;Pool5,Pool12	CYP_1	EBAT_1	EERU_1	WEES_1	-0.00299406595446922
Pool1,Pool2;Pool5,Pool13	CYP_1	EBAT_1	EERU_1	WEES_2	-0.00351597742787091
