scenario N1 N2 N3 N4 N5 ta raa t1 N6 t2 N7 t3 Nanc
1 1071569 187944 117110 243240 304120 4670 0.271179050207138 8090 1525694 16217 346803 328448 968609
1 158076 25521 4170975 228443 320654 676 0.186129257082939 1151 232098 8200 30458 34612 89876
1 120383 30681 80932 44011 130982 893 0.294829130172729 1553 15665 2067 61269 49660 199450
1 2847911 411344 7950269 7468423 9925819 1991 0.123270258307457 27348 6507828 50461 535326 446211 1367407
1 96059 20209 478546 6309246 369769 306 0.445952892303467 1298 235084 5616 24208 33970 148858
1 343180 235813 22267 510883 9787155 374 0.136413410305977 7580 560524 20601 19988 44315 897911
1 2359299 60899 1701892 8115691 2910073 575 0.372992813587189 2720 1231058 48600 365374 305808 1647547
1 48173 58443 6294503 11829 174567 152 0.159497678279877 1198 201042 5760 11504 17955 104448
1 716240 20532 120571 52997 2035664 527 0.0681582242250443 2132 1816466 8212 741990 469529 349653
1 281374 192005 6186518 605013 4200162 700 0.0898032411932945 3346 550008 4565 87871 52412 142752
1 556920 34499 26699 463292 55589 1220 0.0815356075763702 3303 142026 4817 161377 107130 541699
1 1694042 97217 33156 9099958 490501 1689 0.185675770044327 9553 660423 30307 62786 78459 1058219
1 300506 25375 9178748 794644 7590614 179 0.0861614942550659 436 21728 610 168232 109754 445080
1 77161 120747 40173 24165 1969828 307 0.244592860341072 1924 84098 1967 26226 31521 90582
1 1175236 126464 56114 264909 5618705 2857 0.0788019448518753 4793 595016 20815 679338 612720 2244491
1 920176 11092 34367 346760 38673 256 0.147843986749649 373 13778 472 1140209 558703 1007936
1 1182212 18432 406139 44187 7461684 1041 0.0509174279868603 2333 201672 5153 55155 39178 223339
1 1046747 44479 3186872 618086 2327320 866 0.189418137073517 1661 123354 5885 446388 227602 403402
1 184009 13998 80197 248897 37979 729 0.0613572932779789 2104 4153173 5245 118858 132070 183828
1 7561894 81314 1214089 347862 2412848 2822 0.13286966085434 5268 1779927 37961 634325 354447 1863139
1 120637 23891 29114 7453702 3303690 1398 0.0769092068076134 1788 474291 4019 19395 18607 72241
1 357248 8843839 6348682 309463 447165 1256 0.458303570747375 4863 232492 11028 193026 159671 303165
1 39036 127699 4202615 360035 97214 344 0.414440989494324 1420 20753 1831 13185 12967 53537
1 84508 44337 2156282 52582 43429 156 0.0847825184464455 198 941464 449 24170 27810 57168
1 7693209 230978 39108 336910 6566590 2004 0.0745614171028137 13801 468271 15539 824013 572426 4711325
1 5210264 1378252 3096766 292135 476892 389 0.289137691259384 1051 3168030 16035 796540 545616 2248934
1 348423 762774 7501314 1063585 98938 1709 0.133428186178207 2151 967685 6192 93212 79853 311489
1 616235 96109 84213 17273 1134551 307 0.0521927550435066 629 560772 4451 208243 175922 617158
1 943100 43208 21832 146939 2017877 370 0.071881890296936 7681 2803029 10755 208364 283464 1052486
1 938950 714528 247092 4283923 979897 1368 0.429665178060532 1714 7533227 25771 268684 269358 1275234
1 1124211 21617 398807 57388 97855 546 0.160261616110802 555 1714041 1077 784369 359918 891767
1 175383 88842 20973 599603 1314239 349 0.261373072862625 2670 179442 7747 67584 74928 330190
1 161329 28126 811191 556949 424382 260 0.486773431301117 1926 424840 2334 17322 19953 101115
1 147065 25002 31636 346812 224246 2214 0.0833237692713737 3063 7935401 4274 26228 27792 164665
1 287911 2549358 84702 3962338 1139608 248 0.412951916456223 835 444456 928 205353 151833 303301
1 1006187 65554 65187 83324 5309901 337 0.0929387882351875 1131 2849679 9553 692006 364520 1003456
1 1658458 63971 25526 63398 3660654 402 0.26652005314827 1433 139926 2271 846509 620634 949916
1 3520180 381320 1508080 603940 3208887 208 0.175999045372009 291 1827725 38216 889223 612912 2813673
1 168709 215026 238360 79046 3744657 169 0.138322666287422 641 270016 14999 28420 41201 206198
1 1139481 6165942 98683 24511 417565 756 0.104634627699852 1954 4709875 17663 188279 173708 1278117
1 1038413 7495338 5085144 10801 452879 270 0.151726439595222 1192 59768 4847 153113 143962 525560
1 2342673 1767957 18322 109192 1607411 515 0.263760030269623 3411 80724 9248 26392 30825 434513
1 120497 37681 846814 11509 170516 489 0.315247923135757 827 109451 10755 25519 32068 265518
1 1556568 598614 10555 15395 6101722 534 0.185999065637589 1280 1693114 29169 43038 66932 964398
1 461966 19090 4290901 1656895 49024 586 0.0554597564041615 1029 837952 4796 140043 96466 534774
1 9338389 51347 2430352 1002873 8599990 191 0.263815701007843 8191 28253 11654 145286 106981 845157
1 793747 8794029 2861438 16064 17858 239 0.0596267394721508 1243 1265199 1933 212453 125625 334022
1 1628185 143741 66703 10476 36305 382 0.308285295963287 671 1576460 2522 401399 379038 993364
1 223973 6199974 17418 317220 2881928 998 0.0662448331713676 3977 433773 9259 90923 99512 166610
1 28252 1044423 10058 7513918 529683 242 0.0707997828722 438 1349634 462 10512 12302 24918
1 465049 2498896 52308 8444691 547974 340 0.183282300829887 1554 487868 1747 703285 476438 546019
1 321551 2208282 271523 10860 814664 334 0.0787428840994835 1068 2283126 4731 26056 29416 633938
1 57373 30010 66212 1447252 6257016 631 0.0521527379751205 937 52322 939 13954 10833 94031
1 128185 119669 60266 55202 218794 797 0.278386533260345 1541 1529464 3076 66768 84081 89234
1 349447 12136 41312 25003 962106 297 0.102511338889599 1653 14892 2123 319828 115998 238339
1 871367 41998 12460 9678497 4201101 174 0.0550544448196888 3121 10599 4094 135891 74785 300860
1 948759 2139122 351995 282630 6327800 346 0.399100571870804 1550 54398 5644 272228 224391 707036
1 113853 17641 362580 420487 8940807 1288 0.473552465438843 2452 318921 3871 172552 90386 189778
1 321680 101063 155522 46758 279005 343 0.327081084251404 390 6417391 12050 23985 41219 406988
1 616950 49022 822803 3444706 3097629 159 0.313204765319824 585 4979051 14045 523643 369478 1031786
1 282352 49821 465798 2217158 206122 186 0.0519495233893394 1476 1154830 1950 215585 118620 379451
1 112295 2814634 66261 20786 187513 380 0.117575570940971 775 2619642 1094 50518 45581 197781
1 9576472 109063 246391 1006317 2088317 579 0.141262903809547 13624 3505471 26454 31150 60872 3665688
1 2071310 110491 14607 38361 2190437 154 0.292566239833832 317 779242 7420 284819 168674 490295
1 203497 462251 831772 2922377 1531183 2441 0.0659307241439819 2763 15500 4020 37267 49636 151675
1 1591612 73645 99115 2169887 248723 2133 0.0733779072761536 4269 3055293 10070 56133 37746 259479
1 491300 2047184 7557740 7453996 2870134 2453 0.480399072170258 19071 64202 25727 49691 56863 545486
1 104693 3892880 33878 19973 1913871 216 0.234563052654266 368 25943 687 113900 64836 63912
1 387603 38429 66015 8058582 286442 992 0.361780345439911 2852 64009 6873 56355 48342 88578
1 451485 187435 4963828 314816 755605 328 0.0760421007871628 8041 10767 9120 135927 126817 519926
1 654822 743638 1943850 1227822 4339672 280 0.104501344263554 411 1011199 4643 770939 565989 606954
1 171678 25126 3651232 1861773 714363 596 0.0632443502545357 3470 121743 5672 25981 28413 134381
1 4299280 196007 5600405 613211 1134790 1373 0.446547508239746 8250 190620 16001 597601 419506 1035766
1 741179 1298593 284933 101593 6298135 4624 0.386171251535416 11288 21590 12703 1094594 555858 697731
1 679129 225614 19546 18066 72241 2164 0.153392270207405 2340 244868 4836 190340 239674 670010
1 2441636 2602197 3006437 153091 4428153 190 0.329066842794418 550 282602 2812 597551 563133 1172261
1 160942 10232 1221238 241961 21594 164 0.162853330373764 599 2110681 968 157421 187187 68100
1 4742893 928194 173864 44274 2574357 390 0.30359023809433 472 73796 617 1112603 709718 2161635
1 2835234 20410 3519801 125124 2037003 343 0.0710620433092117 3533 786501 6927 29538 30557 383247
1 873716 797175 9474231 733411 252264 224 0.0866866484284401 4374 106989 6999 692206 518234 1380572
1 991506 11383 1906876 36245 7692915 285 0.166007980704308 637 9181776 35236 248413 260375 2295103
1 2287868 422179 12160 36287 5604408 207 0.0801297724246979 2313 572480 5486 291343 144998 515279
1 498127 516418 190500 1076256 9369807 692 0.0850780233740807 1181 505943 25175 249233 360993 682874
1 993562 5662787 370130 928752 1315245 583 0.0633164569735527 2706 2796018 4353 275227 276567 1086489
1 254352 223220 17953 10747 2833007 352 0.174543216824532 1607 1136641 48505 49986 110467 1051700
1 222249 1859856 3531077 1593054 3810190 338 0.136347323656082 5225 4404914 7266 48399 71438 200773
1 1228566 4556247 190070 21882 2403891 1290 0.246965005993843 1657 349954 9111 436264 316997 1427553
1 548109 2232919 1065496 11647 563443 249 0.488955020904541 333 303721 18370 256241 294597 271913
1 248196 101297 360454 461714 1928726 5593 0.488227337598801 7052 8194997 33373 13133 53101 723229
1 6867027 13031 608697 246003 596801 724 0.291717231273651 2442 4246199 33490 753617 586044 1408181
1 468952 26087 3027852 60269 146692 172 0.41103059053421 393 66466 1699 47627 37037 178843
1 60198 5629894 17717 503246 96240 168 0.314207404851913 3258 1014970 3264 11816 17573 108089
1 2023591 165273 3748732 4997187 9983625 274 0.0933834984898567 2188 40175 2678 25055 21499 143202
1 884391 3607327 4339195 400461 122928 1668 0.137349233031273 2364 1186079 5390 82591 53600 388638
1 148881 26577 164362 43701 342752 263 0.214820683002472 418 85676 6310 28599 19829 128445
1 9356182 40770 913881 768609 1929336 226 0.0586916618049145 7016 34554 10218 466123 375916 5212956
1 8145234 25334 15009 172429 9118133 1050 0.146721571683884 2469 34867 7159 951919 699781 2766975
1 131519 106353 1461011 13870 22837 231 0.313312947750092 435 8318456 3473 34039 36773 249460
1 2421591 1039372 4207756 1888413 5600044 6695 0.422919511795044 7377 1387727 103272 950853 693635 3553607
1 1950676 52254 3680990 84433 449699 160 0.0933196619153023 2018 1643206 15614 319468 174118 1105688
1 1914972 166491 105925 215875 132183 627 0.350119799375534 1726 2904586 8795 257159 255709 2485222
1 130522 31711 16721 13656 164643 362 0.0742928311228752 861 173430 1532 10594 14708 47070
1 2955021 2283853 10447 112484 252565 893 0.436175346374512 4896 479740 25505 251036 257584 2116735
1 1121296 40036 34350 8536322 4775604 282 0.0958570390939713 4881 169728 13434 578270 211748 312153
