scenario N1 N2 N3 N4 N5 t1 N6 t2 N7 t3 N8 t4 Nanc
1 358939 47128 11512 28952 1144284 400 1117927 2725 223314 16979 160843 169362 469884
1 39505 59934 4083450 271699 21513 171 11886 228 21472 553 17617 17481 36304
1 594671 174812 13341 45934 985658 492 7701942 6155 207241 12257 202633 122774 425028
1 2360536 31467 65803 1089754 4439286 654 140121 4188 472574 20583 941566 636641 1027429
1 47302 32576 8144135 15730 2921554 176 57130 514 383099 2438 21501 19367 54201
1 808061 47653 15474 1995681 4235423 561 5153210 597 2709194 31968 447449 371077 707690
1 861192 29474 698301 127545 45554 300 29485 495 734068 1175 900900 522281 1047615
1 816440 12104 21172 36309 298035 687 1683162 2407 1083824 7729 102172 106281 777161
1 341988 54751 6521937 67538 15525 191 3997632 1577 6828506 1616 159354 207747 374050
1 1525833 7211112 103783 20140 317164 1463 40582 5922 4705120 7468 525049 606504 1530784
1 102840 16351 629705 25446 12852 167 62533 491 234966 1794 40847 37651 161306
1 142448 25160 78507 792611 2172048 169 5640052 265 1673109 502 159926 97243 154078
1 762216 48312 76435 338602 15154 560 21967 1141 1383536 2503 288868 206632 386118
1 2194744 1179201 243021 213716 6717474 4979 5099713 9963 8372144 135818 46301 176890 2987234
1 357616 26742 62401 153113 337892 219 162167 5660 43638 10497 109001 142178 650994
1 670756 55372 43098 355183 885912 653 152783 7819 6221071 10493 48295 65017 1124462
1 323377 178259 1475563 61646 9614899 265 58291 3595 9987540 3918 23332 25116 113920
1 5892469 22997 2462194 19658 85753 1183 20196 2811 177714 3023 79772 81826 1414294
1 576008 2073080 1652081 6482350 164300 265 1719551 3042 748851 9110 209673 236124 876099
1 442407 4176261 14588 2325518 155428 228 8582805 239 1532877 283 173461 116360 351252
1 75425 101435 183609 56865 2760136 151 33449 171 1281768 3168 47756 31939 118458
1 314085 201087 1109477 618075 8736189 199 3858857 517 197804 939 368082 289104 355600
1 238539 54444 18533 1398370 6659184 387 10286 1885 425147 7213 20803 31779 253616
1 650575 3211700 111412 41406 133149 200 80090 723 1224776 5671 647270 375894 456373
1 1605678 23122 21245 580078 3042800 757 7845103 5429 1652387 28669 597429 739874 1692940
1 1273010 2885417 1061240 298504 790767 265 12349 440 211491 932 416738 225750 989200
1 136677 82016 2729081 383402 1677751 975 3724117 1814 49988 3607 47570 38033 54589
1 2368294 33562 803668 87322 740604 311 8263623 6478 173515 24831 696963 497884 1002015
1 273284 1965870 372654 605306 547941 160 1337861 5010 1976603 6076 139532 127848 289694
1 639085 647000 7943165 47059 964528 648 426566 30491 21432 30497 88345 127085 3042849
1 1152399 21538 352207 632558 456912 260 40180 730 4723661 12906 168432 175607 2579746
1 4137141 125860 70222 276466 768340 164 5191232 284 7763596 7134 712436 517626 1604234
1 8777358 362420 273227 46141 2636666 260 2123030 23235 5272368 52232 994641 649393 5605341
1 2262753 14188 127159 397206 22158 226 1036499 1498 523416 1829 131826 150472 928192
