stat_name var_imp
AMLm_4.1.2 897912133421766
AMLm_3.1.2 741497263394720
FST1m_2 398721673133275
AMLv_4.1.2 218144550802827
AMLm_2.1.3 178342676430566
AMLm_2.1.4 176558672009773
AMLv_3.1.2 166944832179385
F3m_1.2.4 164201891969829
F3m_1.2.3 151201394471792
ML2p_2.3 133465411804531
ML3p_2.3.4 121085158698120
ML2p_1.2 120856914534494
AMLv_2.1.3 118548805406324
F3m_3.1.4 117223725129263
AMLv_2.1.4 116881329668014
NOISE3 109878976227119
F4m_1.2.3.4 106820620454788
NOISE2 100509040660253
NOISE4 98364217576957.1
ML2p_2.4 96882171429534.1
NOISE1 93437447625136.7
AMLm_1.3.4 84187203810166.8
F3m_4.1.3 83133459762435.5
ML1p_2 83103452320279.5
ML2p_1.4 81591217650009.2
AMLv_1.2.3 81500845405814
AMLv_1.2.4 80257260936024.2
F3m_4.2.3 76957587510127.2
F3m_2.1.4 76379551085612.2
F3m_3.2.4 75237486193803.3
F3m_2.1.3 75213961092802.8
NOISE5 74400706906490.4
F3m_3.1.2 70468956493278.3
ML3p_1.3.4 69878071695683.8
AMLv_4.2.3 69730765113275.6
F3v_1.2.3 68496034624756.3
ML3p_1.2.4 68255405765721.7
FST1m_4 67554124264547.6
ML2p_1.3 67512950207715.8
FST3v_2.3.4 66807166027603.9
NEIv_1.2 66532233562483.9
HWv_1 66496602687103.7
AMLm_1.2.3 66337128226795.6
FST1m_3 65614354541751.3
AMLm_2.3.4 65126757622361.1
FST1m_1 64423636418355.4
FST2v_3.4 63412091186947.1
AMLm_1.2.4 63305023810001.3
HWv_2 62370330115556.5
AMLv_4.1.3 60586432228867.4
FST2v_2.3 60505168461562.1
ML3p_1.2.3 59393617941818.9
ML2p_3.4 58983362277724.2
AMLv_2.3.4 57358354707181.9
F3m_4.1.2 56693331929997.5
F4m_1.3.2.4 55214710150494.5
ML1p_1 53867686095619.9
F3v_1.2.4 53338969412525.2
AMLv_3.1.4 53041770058838.4
AMLm_4.2.3 51819922427607.8
HWm_2 51411347175060
FST2v_2.4 51374616949569.9
FST1v_1 50971416856301.4
AMLm_4.1.3 50927862915461.2
F4m_1.4.2.3 50716815042242.9
FST2m_3.4 49466535261247.5
FST1v_4 49121722054683.1
ML1p_3 49097711436807.6
NEIm_1.2 49037459275636.4
FST2v_1.4 48507093002192.3
AMLm_3.1.4 48493332981385.5
F3v_4.1.3 47900648475025.7
FST1v_2 47776222038525
HBm_1.4 47676464469076
ML1p_4 46394754459437.1
HWv_4 46181368269189.4
FST2m_2.4 46082273399722.8
F3v_4.2.3 45537778413548.7
AMLv_3.2.4 45487803594691.4
HBm_1.3 45218986655285.3
HBm_1.2 43887629594885.3
F4v_1.2.3.4 43002015673191.1
HBv_1.3 42903412348750.9
AMLv_1.3.4 42813323174906.9
FST2v_1.3 42778186515426
F3v_3.2.4 42566306863822.2
HBv_3.4 42290380954727.4
AMLm_3.2.4 42156173647820
HWv_3 41982638573320.7
NEIv_3.4 41709040702473.8
HBv_1.2 40208969413431.5
HWm_1 40149694195608.7
NEIm_1.3 39894657226524.4
NEIv_1.3 39861963498293.7
FST3v_1.3.4 39744995411246.7
HBv_2.3 39423524298526.9
HWm_4 38997080143109.3
F3v_3.1.4 38440075416567.6
FST2m_2.3 38126897811599.5
HBv_2.4 37905611716718.2
FST3m_2.3.4 37434295361272.4
NEIm_3.4 37307191333361.1
FST1v_3 36741183261067.7
HBv_1.4 36643009247193.5
NEIm_1.4 36237512113222.6
F3v_1.3.4 36166977998602.8
HBm_2.3 35772152796008.1
HWm_3 35737042497576.8
F3m_2.3.4 35228289572422.3
F3v_2.1.3 33586250033819.4
FST2m_1.2 33311341202065.8
F3v_2.1.4 33261487088814.5
HBm_3.4 32987156157997.2
HBm_2.4 32858053590337
NEIv_1.4 31999188505162
F3v_4.1.2 31769998177058.5
F3m_1.3.4 31502930613631.6
NEIm_2.3 31458864676585.2
NEIv_2.3 31383988462224
F4v_1.3.2.4 30508831942719.5
F4v_1.4.2.3 29819807161793.1
FST2m_1.4 29434767365804.7
NEIm_2.4 29174470452518.7
FST2v_1.2 28898647594216.4
F3v_2.3.4 28484647697406.2
NEIv_2.4 28093635186645.7
F3v_3.1.2 28007902494660.8
FST4v_1.2.3.4 26417969768976.5
FST3m_1.2.3 24989378258572.5
FST3v_1.2.3 24597708625371.2
FST3v_1.2.4 24583096531500.6
FST2m_1.3 23522397317632.7
FST4m_1.2.3.4 23264628472368.1
FST3m_1.2.4 22409533653536.1
FST3m_1.3.4 22205452512882
