stat_name var_imp
AMLv_2.3.4 2.125347
AMLm_2.3.4 1.788413
AMLm_3.2.4 1.481265
F3m_4.2.3 1.089738
F4m_1.2.3.4 1.064844
F4m_1.3.2.4 0.980241
F3m_3.2.4 0.978554
AMLv_3.2.4 0.788494
F3m_3.1.2 0.730086
FST2m_3.4 0.691923
FST2v_3.4 0.54271
F3m_2.3.4 0.53495
AMLm_1.3.4 0.511767
AMLv_4.2.3 0.510756
F3m_3.1.4 0.502177
NEIv_2.3 0.487423
F3m_4.1.3 0.477656
NOISE1 0.460248
NOISE2 0.460079
F4m_1.4.2.3 0.444801
NOISE3 0.442002
NOISE5 0.440458
NOISE4 0.438725
F3m_2.1.3 0.420447
NEIm_2.3 0.402028
FST2m_2.3 0.394739
F3m_2.1.4 0.358014
F3v_4.2.3 0.348065
F3m_4.1.2 0.344384
AMLm_4.2.3 0.333843
FST2v_2.3 0.332146
FST2v_2.4 0.313594
F3v_2.3.4 0.294884
AMLm_1.2.4 0.279275
FST2m_2.4 0.278495
FST3m_2.3.4 0.270735
FST3v_2.3.4 0.2705
F3v_3.1.2 0.260406
AMLm_1.2.3 0.252547
HWv_1 0.245748
AMLv_1.2.4 0.239563
HBv_2.3 0.237936
AMLv_1.3.4 0.231407
ML2p_1.2 0.225357
ML3p_1.2.4 0.22341
NEIv_3.4 0.221884
AMLv_1.2.3 0.216204
F3v_2.1.3 0.208853
NEIv_2.4 0.208111
F3v_3.2.4 0.208098
FST1m_3 0.20757
F3v_4.1.3 0.207382
ML3p_1.2.3 0.192852
FST1m_1 0.192671
HWm_1 0.19208
FST1m_4 0.191949
ML1p_1 0.190276
AMLv_3.1.2 0.186653
ML3p_1.3.4 0.184114
FST1v_1 0.173848
ML2p_1.3 0.173664
HWv_4 0.172629
NEIm_2.4 0.172305
FST1m_2 0.168594
AMLv_4.1.3 0.166944
ML2p_1.4 0.166419
AMLv_4.1.2 0.165362
AMLm_3.1.2 0.16497
HBv_3.4 0.162334
HWv_2 0.160688
F4v_1.4.2.3 0.157212
FST2v_1.4 0.155002
F3v_2.1.4 0.154816
F3v_3.1.4 0.154586
NEIm_3.4 0.154538
HBv_2.4 0.15397
AMLm_4.1.3 0.153643
HWv_3 0.151543
F3v_4.1.2 0.149349
AMLv_3.1.4 0.148267
AMLv_2.1.3 0.146686
AMLm_4.1.2 0.146225
F4v_1.2.3.4 0.145051
FST1v_2 0.140945
ML1p_2 0.140505
AMLv_2.1.4 0.140376
AMLm_2.1.3 0.139697
ML1p_4 0.13792
AMLm_3.1.4 0.135828
FST1v_3 0.134508
AMLm_2.1.4 0.132899
F4v_1.3.2.4 0.132248
FST1v_4 0.131018
ML2p_2.3 0.121469
ML2p_2.4 0.120145
FST2v_1.3 0.117858
ML1p_3 0.117606
ML3p_2.3.4 0.117079
ML2p_3.4 0.115348
HWm_4 0.114781
HWm_2 0.109472
HBm_1.2 0.106307
FST3v_1.3.4 0.101649
HBv_1.4 0.100903
HBv_1.3 0.099175
HBm_1.3 0.098704
HBm_2.3 0.097575
HBv_1.2 0.097332
HBm_1.4 0.097182
HBm_2.4 0.094657
FST2m_1.4 0.091429
HWm_3 0.090758
HBm_3.4 0.086921
FST2m_1.3 0.080718
FST3m_1.3.4 0.076887
FST2v_1.2 0.075142
NEIm_1.4 0.072305
NEIm_1.2 0.071966
FST2m_1.2 0.071019
F3m_1.2.3 0.070929
NEIm_1.3 0.069679
NEIv_1.4 0.069359
NEIv_1.3 0.067973
FST3m_1.2.4 0.067138
FST3m_1.2.3 0.067063
F3m_1.2.4 0.067005
FST3v_1.2.4 0.066758
NEIv_1.2 0.0666
FST4m_1.2.3.4 0.066498
F3m_1.3.4 0.065699
FST4v_1.2.3.4 0.065498
F3v_1.2.4 0.065169
FST3v_1.2.3 0.064041
F3v_1.3.4 0.062501
F3v_1.2.3 0.060486
