PopName,PoolName
AT_Kar_See_1_2014-08-17,Pool1
AT_Kar_See_1_2016-08-01,Pool2
AT_Nie_Mau_1_2014-07-20,Pool3
AT_Nie_Mau_1_2014-10-19,Pool4
AT_Nie_Mau_1_2015-07-20,Pool5
AT_Nie_Mau_1_2015-10-19,Pool6
AT_Wie_Gro_1_2012-08-03,Pool7
AT_Wie_Gro_1_2012-10-20,Pool8
BY_Bre_Bre_1_2015-09-11,Pool9
CH_Fri_Ors_1_2020-08-23,Pool10
CH_Vau_Cha_1_2014-07-24,Pool11
CH_Vau_Cha_1_2014-10-05,Pool12
CH_Vau_Cha_1_2015-08-01,Pool13
CH_Vau_Cha_1_2016-08-15,Pool14
CH_Vau_Vul_1_2018-09-18,Pool15
CH_Vau_Vul_1_2019-07-17,Pool16
CH_Vau_Vul_1_2019-09-24,Pool17
CH_Vau_Vul_1_2020-07-29,Pool18
CH_Vau_Vul_1_2020-09-15,Pool19
DE_Bad_Bro_1_2014-06-26,Pool20
DE_Bad_Bro_1_2014-10-15,Pool21
DE_Bad_Bro_1_2015-06-30,Pool22
DE_Bad_Bro_1_2015-10-25,Pool23
DE_Bad_Bro_1_2016-07-24,Pool24
DE_Bad_Bro_1_2016-10-23,Pool25
DE_Bad_Bro_1_2017-06-27,Pool26
DE_Bad_Bro_1_2018-06-26,Pool27
DE_Bad_Bro_1_2019-07-03,Pool28
DE_Bad_Bro_1_2020-07-16,Pool29
DE_Bad_Bro_1_2020-10-24,Pool30
DE_Bad_Bro_1_2021-07-21,Pool31
DE_Bad_Bro_1_2021-10-20,Pool32
DE_Bad_Wal_1_2019-10-02,Pool33
DE_Bad_Wal_1_2020-10-02,Pool34
DE_Bay_Mun_1_2014-06-19,Pool35
DE_Bay_Mun_1_2014-09-03,Pool36
DE_Bay_Mun_1_2015-06-01,Pool37
DE_Bay_Mun_1_2015-09-01,Pool38
DE_Bay_Mun_1_2016-06-25,Pool39
DE_Bay_Mun_1_2016-09-01,Pool40
