NAME,POOL,LAT,LONG,CONTINENT
CYP_1,Pool1,35.066461,33.322646,EU
EBAT_1,Pool2,48.2,16.37,EU
EBHU_1,Pool3,47.617361,18.89200,EU
EBPL_1,Pool4,51.2315,22.524833,EU
EERU_1,Pool5,58.02444,33.235277,EU
EERU_2,Pool6,56.41472,38.71611,EU
EEUA_1,Pool7,48.76224,30.244566,EU
EEUA_2,Pool8,46.441227,30.771592,EU
TRK_1,Pool9,40.231444,32.260328,EU
WBDE_1,Pool10,48.18,11.61,EU
WBIT_1,Pool11,46.191059,11.135751,EU
WEES_1,Pool12,37.363279,-3.168799,EU
WEES_2,Pool13,41.656416,0.388472,EU
WEFR_1,Pool14,43.709061,3.848005,EU
WEFR_2,Pool15,47.26735,5.45608,EU
CNXJ,Pool16,35.6199980,111.209999,AS
CnOther,Pool17,25.712654,101.880985,AS
CnQTP,Pool18,29.654839,91.140549,AS
ISR,Pool19,32.085300,34.781769,EU
DGN,Pool20,-15.419620,28.283150,AF
DrosSim,Pool21,-15.419620,28.283150,AF
