scenario N1 N2 N3 N4 ti raa raa1 ta raa2 t1 N5 t2 Nanc
1 37331 205378 1132344 384837 2521 0.102758057415485 0.338084429502487 7113 0.335713654756546 21608 41029 51822 3780380
1 22038 238036 177981 262109 9086 0.372790634632111 0.0682168900966644 9970 0.355579942464828 27756 15088 42166 8365813
1 42251 253487 857885 7048273 1291 0.228125467896461 0.211581975221634 7916 0.283490091562271 34011 46205 80781 7230800
1 23790 74410 2144914 103683 4309 0.365505665540695 0.0841594785451889 7101 0.0613102801144123 7456 137303 137359 1528908
1 46600 67321 921107 9522076 5917 0.242796614766121 0.423239648342133 9497 0.0626790374517441 13256 86572 84346 1356446
1 194592 1643632 583136 161702 4035 0.170648157596588 0.173921331763268 7764 0.052321158349514 29496 453969 364625 8744137
1 40793 92161 1068282 60536 2512 0.165017023682594 0.130070701241493 4026 0.158026486635208 9206 116205 78414 1349033
1 34970 114113 489173 316841 6567 0.211540833115578 0.226698681712151 8643 0.355661779642105 13475 20450 36474 3249114
1 33632 146840 6552783 1556099 1370 0.245470970869064 0.216884151101112 4819 0.0748840197920799 11795 41716 54689 2559277
1 93130 98396 1119791 700242 9076 0.185726210474968 0.10128640383482 9102 0.453099966049194 10217 236667 217908 4923665
1 25090 147534 447990 5657970 4138 0.203261658549309 0.220345795154572 5582 0.2857785820961 12522 34121 38449 1216536
1 89037 207950 119004 6899303 212 0.0674661919474602 0.0767009630799294 2416 0.104180760681629 15550 69741 72922 3530569
1 55421 248512 82121 200347 3924 0.258419454097748 0.376633822917938 5136 0.107253506779671 8889 126398 144427 1598313
1 496044 159603 3639009 4139478 2219 0.055345993489027 0.42077162861824 6402 0.394378066062927 13400 484572 431208 7212093
1 97880 29170 8040820 29902 2208 0.0934174209833145 0.420697301626205 2222 0.290630400180817 2829 92007 104296 3702053
1 127556 5923103 813908 340320 1055 0.0744726583361626 0.154488116502762 4348 0.46434873342514 41561 132591 160323 3644956
1 300801 894697 475424 6933353 1479 0.157533943653107 0.210209980607033 9271 0.291673481464386 25975 445394 412013 6358152
1 31113 19664 304740 745611 4188 0.109197244048119 0.174640730023384 4791 0.0909402966499329 6037 25037 26486 7432613
1 56428 85359 735344 9786989 2871 0.107126161456108 0.207025542855263 5451 0.219995260238647 7076 59364 57451 2772661
1 405910 749893 86992 3932735 1823 0.0936085358262062 0.0807804316282272 7081 0.280081778764725 160083 368794 529749 9300720
1 30815 655884 325623 121024 302 0.0842625051736832 0.127513945102692 5516 0.338881433010101 8935 30495 34246 7560615
1 72962 506172 4775407 69650 3051 0.187202870845795 0.376472234725952 4610 0.179089680314064 6663 147343 168920 3193578
1 61051 91012 131951 48903 3061 0.106398582458496 0.458036929368973 4360 0.459687769412994 7294 105316 70384 5743777
1 35576 33318 621752 861837 2954 0.0645148083567619 0.1965162307024 5059 0.296719640493393 12200 32752 41663 4644013
1 14564 49893 1720924 4266139 2291 0.11774855107069 0.102942086756229 3163 0.0563706792891026 7748 16273 16513 1932427
1 39934 95226 6718525 78974 9544 0.270151764154434 0.27813395857811 9999 0.290497988462448 13405 29654 56744 1031129
1 31028 1283557 203199 71898 925 0.38922643661499 0.0572409778833389 4158 0.101877324283123 11989 219888 299673 3329030
1 184604 283759 362043 4918036 6076 0.226816415786743 0.361468523740768 6862 0.218977928161621 11048 398012 414410 2238321
1 35860 1794992 2915130 275780 4968 0.142510429024696 0.249756127595901 7725 0.445000290870667 34176 44607 57909 3625931
1 35444 1465299 512935 162962 1545 0.394469827413559 0.253442108631134 7198 0.113671123981476 15103 367778 690348 5716033
1 55268 52893 554593 9498202 908 0.253772467374802 0.27297231554985 3430 0.0757763981819153 6228 258306 203190 1393223
1 34310 64896 653249 42129 5702 0.0949639603495598 0.359365880489349 7435 0.237379997968674 9779 28751 31110 4342147
1 367426 140721 2749123 4824422 8420 0.208004713058472 0.155680403113365 8933 0.0602183863520622 25956 380404 499489 4767460
1 17831 28685 2119157 3840451 3771 0.0633173882961273 0.0605944246053696 5896 0.133467495441437 6724 10164 16645 578249
1 34704 435264 213386 48072 3246 0.278491258621216 0.194883957505226 3701 0.105800330638885 4372 91485 78351 1740075
1 22359 67351 598251 1461821 274 0.0541676767170429 0.342016816139221 4177 0.348950922489166 8051 49610 36159 480536
1 56717 241537 6162255 8460434 1401 0.0616785138845444 0.29863452911377 1712 0.0704640075564384 5727 78651 67126 9395465
1 79668 673324 240301 461747 443 0.348538041114807 0.119873248040676 7891 0.372103095054626 9584 263556 344196 5013904
1 16125 8102362 196663 284941 2470 0.105117872357368 0.172560945153236 3113 0.0574179515242577 5659 12241 16434 1728913
1 41624 1287544 5036381 188997 1983 0.110046744346619 0.229402899742126 8638 0.441425323486328 23108 74751 58466 3884628
1 130754 9586937 2123082 125728 3552 0.0777088701725006 0.109419852495193 8533 0.0817375183105469 31592 67068 113147 5081470
1 32959 119787 5223977 192533 2879 0.306745558977127 0.160618454217911 5482 0.324016809463501 15005 474888 675221 3078100
1 55952 3387919 981592 76110 1663 0.126200079917908 0.264231950044632 1689 0.266539305448532 4893 81289 66953 957526
1 46315 251102 2186871 71071 7768 0.0671601369976997 0.375167578458786 8753 0.142976716160774 15936 20590 29426 2310021
1 109009 79112 21070 20288 313 0.134208753705025 0.213747158646584 1542 0.071568988263607 3667 111521 98517 3668122
1 74316 6123999 2435719 426458 7575 0.0656134188175201 0.110982149839401 7668 0.06302859634161 56078 18808 66802 4533620
1 77927 1730817 1658565 257991 3751 0.190601691603661 0.0555251315236092 5777 0.358496934175491 16364 169975 183278 1265453
1 24714 48677 656701 2673234 649 0.341741383075714 0.297421783208847 7370 0.435272514820099 8104 98339 93792 1479249
1 197385 4069003 5351415 1051374 6147 0.186260312795639 0.396081566810608 7156 0.071730725467205 7519 504981 433827 4843033
1 22042 1341316 323764 246041 2405 0.0919176191091537 0.084412008523941 2745 0.0673555806279182 4375 36098 33999 1023312
1 44731 1092216 595776 6891111 395 0.173424422740936 0.114801160991192 492 0.262992829084396 3483 103191 91145 2096179
1 76174 3749175 128443 6544383 2431 0.315562039613724 0.159152865409851 7151 0.0930171310901642 83210 96893 222680 7698788
1 59844 849493 221178 307370 6950 0.147969484329224 0.0549403950572014 7302 0.127617970108986 11677 52669 59168 1613898
1 67403 410121 275435 1152248 5424 0.40758028626442 0.139992281794548 9240 0.2343470454216 40571 366178 621845 2180265
1 45106 2153972 78655 138010 4043 0.0662310197949409 0.150003030896187 7512 0.0691744983196259 18426 77882 66187 2133179
1 39355 22253 6716107 697392 2917 0.342972874641418 0.365390419960022 2966 0.38627153635025 8963 111659 134731 3679709
1 327507 39062 7196327 221418 2165 0.0938046872615814 0.164799124002457 5918 0.179588124155998 16535 745387 558266 4565742
1 30542 7297542 1800529 596251 4626 0.261309742927551 0.0889234393835068 8412 0.495313435792923 11730 30974 50067 4017688
1 18888 349440 8602852 548733 3502 0.22843411564827 0.257725656032562 6818 0.230804964900017 10751 47964 46928 4954755
1 95565 72983 65471 1742972 3396 0.354576796293259 0.385964542627335 4796 0.0903464332222939 19127 436391 744759 2226591
1 25661 1509170 1171024 3621653 1140 0.0841846540570259 0.421269923448563 4862 0.177377641201019 8398 17806 24212 1287665
1 41780 1995762 310496 4952529 1485 0.18330742418766 0.127525687217712 5256 0.435333788394928 5387 97252 73788 3022792
1 83479 242952 233981 1279957 6020 0.159266948699951 0.145288303494453 9189 0.20012891292572 74230 18813 100420 4032965
1 130745 163542 253632 1267201 624 0.0923451259732246 0.134199321269989 886 0.153786465525627 7949 93555 119649 3558318
1 464354 33531 494698 32472 1021 0.196979328989983 0.0542535670101643 3001 0.470976799726486 3395 730534 539822 8331527
1 59815 199359 4694287 120282 5276 0.205973699688911 0.235399380326271 6928 0.0833025574684143 9642 60727 59054 775451
1 132266 220985 5962616 1256776 5941 0.0549459792673588 0.18138262629509 9330 0.057104554027319 35167 123447 98203 4740794
1 35689 211348 1967745 1685347 4709 0.386728793382645 0.149944365024567 5976 0.0801086276769638 27291 133659 135046 8506091
1 32312 148656 4429056 166237 1310 0.304238855838776 0.220938071608543 1575 0.41731384396553 32822 67469 119884 2242349
1 32330 537324 895170 167344 5117 0.259253948926926 0.476803541183472 9245 0.106230407953262 24869 173361 124837 4312381
1 90318 27768 8895294 971217 7467 0.248901873826981 0.147249594330788 9660 0.327616214752197 11831 122928 152186 3405973
1 43289 9940531 89503 1987265 204 0.0565409064292908 0.119735665619373 4525 0.202927097678185 5189 42796 49764 2376316
1 54941 531310 6778994 2798816 5217 0.0560546591877937 0.471820414066315 7810 0.118292316794395 15883 79425 59631 1518812
1 30506 137290 832470 1333534 3125 0.174958020448685 0.199773102998734 3452 0.0578456558287144 20914 60138 72667 718649
1 12006 4400846 111137 822930 2406 0.361056596040726 0.0982254594564438 4185 0.277706116437912 6849 31070 51732 1044316
1 10346 171510 86942 32167 2450 0.0681789070367813 0.305391073226929 3441 0.151529103517532 4228 12354 13630 1166084
1 346145 5841610 464356 5847989 1635 0.0684431120753288 0.0901631787419319 6224 0.0924108922481537 43411 619551 423908 7093493
1 116864 638658 265623 764360 6082 0.177843436598778 0.275530427694321 9432 0.133153095841408 27947 500929 223942 7746217
1 268209 572308 2482189 5208649 1110 0.244826972484589 0.0507384203374386 9382 0.381233394145966 23057 375490 553830 8444591
1 26444 9438136 3554680 479327 1664 0.347964584827423 0.0734810903668404 4858 0.398089587688446 7202 312622 336159 3749692
1 17158 255030 1727448 4586334 660 0.140626639127731 0.487475663423538 4267 0.0685132369399071 9569 36986 28450 1045919
1 22776 4066158 2017594 1470808 1957 0.1026895865798 0.186870917677879 6634 0.324401646852493 13801 21292 28121 8894641
1 79817 318385 145082 69851 3018 0.355257332324982 0.208098322153091 3917 0.464565873146057 18580 160605 300811 2059810
1 32650 476256 349488 149324 2165 0.363675504922867 0.241252362728119 7959 0.239831209182739 9599 419895 404439 9022574
1 48440 110903 7268221 2243930 2499 0.0984756872057915 0.187530189752579 3112 0.408757716417313 18183 44780 47125 744577
1 16893 143144 1079213 35561 2156 0.377345353364944 0.302526623010635 2498 0.278309941291809 5749 182421 362379 1578114
1 97120 4829631 5297710 407955 1087 0.199673637747765 0.202312603592873 4795 0.36942046880722 72412 169025 211087 3185676
1 146154 8349010 23634 316483 729 0.0933694094419479 0.0624000355601311 2273 0.075182743370533 13440 347037 240462 7547904
1 55474 81568 390152 56726 535 0.132928341627121 0.224624946713448 1522 0.0914671421051025 1939 80478 62421 859920
1 268066 1121198 3731653 1023842 2294 0.120445623993874 0.0668536797165871 7421 0.0955893769860268 12108 247107 244336 3427867
1 85152 311971 6291747 1220485 2640 0.250695884227753 0.082757905125618 7873 0.258127063512802 15519 317269 386457 3768246
1 10343 302595 2023624 1565368 1056 0.376309186220169 0.119031511247158 3885 0.0671540647745132 7032 91226 137054 8215402
1 22065 851816 3406928 3647772 141 0.360219061374664 0.460383415222168 3898 0.211495235562325 17092 456051 482097 6384587
1 49045 61299 370801 4067819 5324 0.0557638332247734 0.195741832256317 9580 0.489146053791046 20138 16254 33515 899562
1 201257 7573824 5759683 1044952 4764 0.0591030456125736 0.166493341326714 9149 0.283008635044098 10899 331268 209810 3930474
1 16351 104759 273214 749305 2158 0.445240050554276 0.0981611311435699 8719 0.108862534165382 35424 272799 513496 3529642
1 159225 5320424 331590 9369734 1010 0.0974461138248444 0.161044836044312 2439 0.257603287696838 7606 228199 262486 2136078
1 13338 47288 140973 1657880 6078 0.477219998836517 0.0608916506171227 6360 0.0564773194491863 11416 39067 49600 5348358
1 98863 94418 214474 485526 804 0.0826548188924789 0.195383161306381 1522 0.298428922891617 9392 229600 108622 1303735
1 214318 9997061 104095 71843 3746 0.269930362701416 0.0757077857851982 7401 0.455723345279694 14241 629958 705043 7999427
1 65564 644008 86311 98695 3334 0.244933605194092 0.242764264345169 3344 0.109034523367882 4945 86127 102159 615362
1 159674 521263 8593792 3832921 3846 0.0516859330236912 0.0601689517498016 5199 0.191890731453896 34618 84002 101599 5171658
1 14533 1023719 258436 634472 5199 0.469656586647034 0.198416158556938 5298 0.370587438344955 40681 419588 493343 2547676
1 32999 368445 88011 8658353 4500 0.0624311715364456 0.291731387376785 5012 0.457238972187042 16253 35731 34860 2938007
1 158830 608208 512112 1494453 8895 0.18294121325016 0.276927351951599 9764 0.397477209568024 99054 158394 184183 4179550
1 10002 38277 1143930 1004674 3737 0.348971515893936 0.0519853532314301 4228 0.0844948589801788 6377 100405 75575 1732030
1 31183 1696382 119552 83771 1979 0.212002202868462 0.148640632629395 2679 0.187467232346535 17578 116876 114243 2150537
1 16161 1679109 1724767 4666128 2963 0.403575837612152 0.0560805462300777 7775 0.261350691318512 9363 175510 166221 5058503
1 23668 619891 2430705 1113250 803 0.316244602203369 0.238827675580978 7694 0.454868257045746 27609 340934 530466 1204151
1 18548 2207201 309398 452809 2862 0.411006659269333 0.171911686658859 8028 0.0893820822238922 56662 65628 117594 3594896
1 60826 33825 83185 6812882 1004 0.0553391166031361 0.0819795280694962 6388 0.13620987534523 7383 71661 85175 1456731
1 23577 214867 256385 203986 6250 0.222000613808632 0.245495289564133 6308 0.0756254494190216 22478 61005 50778 2269279
1 79176 259038 1699665 6043448 571 0.151300400495529 0.271488636732101 1564 0.288687020540237 34730 172678 118609 2066030
1 39851 2087647 111503 59001 1637 0.0724972933530807 0.273632258176804 4677 0.10433566570282 5877 93620 63311 685832
1 10750 96057 53130 47363 1809 0.412337124347687 0.0999135822057724 3645 0.458418279886246 3681 22850 29256 1585199
1 28306 8010611 5466545 5595166 548 0.281577885150909 0.0748738944530487 1407 0.0613312274217606 48421 53286 94068 2546224
1 18762 4131559 1385186 6057093 1438 0.099823072552681 0.346322059631348 4872 0.140926703810692 14383 22535 25705 761729
1 256073 342922 1232163 2638952 4238 0.210651904344559 0.0547907240688801 7042 0.0632686913013458 29385 881708 590208 2936689
1 36986 20441 434759 333704 1106 0.157157048583031 0.124528609216213 5679 0.188867256045341 7255 95195 60003 1303064
1 62067 7089530 7596702 494508 3960 0.0629372596740723 0.211881756782532 7789 0.0624039024114609 10864 137788 82095 7840821
1 64517 205744 51382 6054035 2716 0.101341493427753 0.30678802728653 4314 0.0699186697602272 47058 27687 83263 6311523
1 70511 6109658 5629953 145776 795 0.0720644220709801 0.161340743303299 1637 0.351321429014206 31625 39205 83877 9622148
1 161066 560987 4264327 1211930 694 0.103256084024906 0.058270588517189 5176 0.275694727897644 12549 140329 140875 2432940
1 78977 262734 4178196 143037 1574 0.0705704689025879 0.059446070343256 2805 0.402591347694397 32943 137918 102148 1603527
1 28676 135749 57535 42459 849 0.106425561010838 0.0891704633831978 3231 0.381771475076675 8744 94740 50967 3365315
1 26986 806014 445922 37339 110 0.0873119309544563 0.127248823642731 7697 0.404308646917343 8808 16252 25370 9229785
1 368085 87856 148184 85338 7173 0.0605483539402485 0.168249249458313 8185 0.160543099045753 19510 269320 367018 8451380
1 60735 411825 976625 4535093 2995 0.267308294773102 0.280891597270966 6883 0.123775444924831 43318 450147 401728 1704978
1 47032 416511 447086 473157 4720 0.0661929845809937 0.134169414639473 4948 0.309501171112061 19019 118944 69221 1816728
1 32689 8747764 1559573 263043 6748 0.105099551379681 0.215665698051453 8583 0.11419515311718 10032 43296 35164 2229215
1 64694 15165 1052274 128386 157 0.364820212125778 0.46659904718399 3859 0.189459234476089 6210 196975 264417 5765501
1 169114 358484 89878 157047 3099 0.273192077875137 0.0806496366858482 3195 0.389639407396317 67033 291622 455543 9563603
1 166158 6212672 9335730 167056 393 0.193644598126411 0.154671475291252 7835 0.08306023478508 23546 498204 297711 7329388
1 30523 167854 988401 276404 3702 0.273662179708481 0.148728653788567 9803 0.407374203205109 13378 21955 34977 6218819
1 126544 414049 96832 3426324 5515 0.126779764890671 0.0859009996056557 6090 0.368982583284378 94766 32311 136404 3303909
1 11260 126766 433609 4855390 1466 0.155948385596275 0.071457713842392 4781 0.101987227797508 6746 27056 26171 3644198
1 23893 713302 752363 438477 1801 0.0591578930616379 0.110209695994854 3395 0.077751949429512 10559 30798 35096 504044
1 118056 268291 860868 8587923 1795 0.0892792791128159 0.202376157045364 7870 0.0570309832692146 32864 407214 225158 1677669
1 19623 9738879 5478502 2172766 644 0.0784125775098801 0.357526838779449 7076 0.30802509188652 7952 26557 22693 655891
1 45227 34858 12907 431416 335 0.065561555325985 0.23384515941143 922 0.0691383332014084 5201 24429 29909 614507
1 52267 2109724 38061 423677 3992 0.230644255876541 0.0823482200503349 5405 0.0538657791912556 66535 79418 125119 8499504
1 197232 1036362 1242412 8327550 1415 0.12238060683012 0.0573890283703804 4526 0.110320597887039 60985 804525 561741 6697434
1 118786 1199265 1366881 84200 2756 0.219960689544678 0.285464584827423 3676 0.221230283379555 5429 592822 481316 3676708
1 358324 1052283 5624232 158098 3140 0.134254783391953 0.21007277071476 4338 0.0684940963983536 9935 340557 293063 4641612
1 321583 918205 899195 136612 696 0.0857909992337227 0.100730650126934 5122 0.0943622663617134 16458 278464 335343 1819123
1 66556 207208 6919260 47259 703 0.118127830326557 0.197555914521217 4487 0.34935399889946 19875 48257 55694 1442198
1 96332 2074635 2767145 146721 395 0.374837517738342 0.160050272941589 8587 0.070073239505291 27153 802190 660775 6439245
1 46729 5290307 541809 402475 4945 0.281418561935425 0.168301492929459 9685 0.213174641132355 13861 395379 327308 2380516
1 28282 34129 27575 236528 572 0.293604284524918 0.174569621682167 2963 0.461457192897797 4335 186021 183258 805240
1 178564 645999 245204 6989895 1074 0.388630867004395 0.300941377878189 4686 0.0992019400000572 14429 384236 652865 9610836
1 191243 2274798 3625439 336635 1770 0.106022760272026 0.211430698633194 1918 0.212594881653786 33059 266293 342120 7758257
1 53707 486267 1310548 986884 4252 0.0535685271024704 0.0604027919471264 9488 0.0571018010377884 42032 10721 54978 1520845
1 168958 52603 476308 9989627 5170 0.223752066493034 0.218797132372856 5464 0.287223696708679 9262 396613 525439 738264
1 89121 1269289 268535 546997 1322 0.291741967201233 0.0787458047270775 2988 0.311659723520279 3629 435008 391132 9372355
1 36075 957554 145512 2139961 4571 0.0606050975620747 0.315925449132919 7502 0.0879906713962555 11748 44217 49946 5312549
1 386904 842194 589641 9246594 911 0.112864091992378 0.179001942276955 3354 0.108796812593937 25154 1226971 691618 8921041
1 53290 3291887 146442 46197 2951 0.058599554002285 0.118660964071751 6835 0.220589146018028 13431 40691 56967 3831102
1 88417 279797 48602 67265 1719 0.166898816823959 0.21650642156601 3724 0.0725537464022636 15227 105612 159692 1176532
