scenario N1 N2 N3 N4 ta raa t1 N5 t2 Nanc
1 185250 112675 3855540 77437 6188 0.0113363023847342 7858 173163 153552 2200307
1 59143 143449 703263 172715 7282 0.0161393415182829 12575 75280 57692 2726563
1 40984 8594139 2309285 218065 8876 0.0102070989087224 14908 21691 29358 3739255
1 18829 88390 2640313 230122 8177 0.0288429502397776 15135 16241 21774 1890963
1 284287 11356 7106527 23142 2166 0.0143929813057184 2380 450852 242130 1611319
1 118151 14070 32425 22273 716 0.0267790239304304 1409 209633 152909 8374356
1 304937 143096 160843 83111 1484 0.0286673586815596 13438 167232 164290 3181597
1 644359 804964 1730802 19858 1203 0.0259428769350052 4130 820084 548954 7102223
1 13627 515420 213178 37986 574 0.0208243802189827 2012 14093 14653 3083677
1 78658 38866 108172 2764511 7518 0.0170933082699776 12179 113964 72843 6006194
1 19272 53382 3550438 141549 9066 0.0201663598418236 11705 13425 18328 251545
1 17392 87537 1573581 392926 3662 0.014479729346931 6930 10050 16880 1344648
1 19349 257420 198314 31227 3015 0.0278256554156542 3534 13083 12046 828849
1 17082 4096971 265815 15750 1273 0.0154684009030461 2350 31436 13476 2614165
1 121917 2103193 1063925 45821 816 0.0262336116284132 9738 135429 84236 8421196
1 19282 1864244 292344 33812 1171 0.0124239809811115 2431 11364 12245 425596
1 49236 3234505 496441 26939 2478 0.0206750594079494 4977 121503 57261 1145988
1 47150 73139 26210 129450 1091 0.0108121195808053 10503 62280 46390 6124860
1 722812 97597 388112 33349 3844 0.0207575168460608 6030 719229 722539 5950383
1 46310 2978858 1274126 67456 2399 0.0250954087823629 7483 95013 50060 520380
1 128827 64417 7621436 185608 6556 0.0297283791005611 11487 52415 46395 2945774
1 18948 225729 9180916 17102 1113 0.0225167889147997 5383 45873 26171 1978409
1 243110 246688 481715 208226 8345 0.0299985986202955 8886 734491 304989 5785607
1 138051 52588 96594 52798 630 0.0174479149281979 2644 366811 150351 7811635
