scenario N1 N2 N3 N4 N5 t1 N6 t2 N7 t3 N8 t4 Nanc
1 1849529 775507 3504076 814104 675142 29734 1272746 118351 994590 121521 84842 208749 2985093
1 537550 7348228 255101 1870042 1945293 16510 4014379 17635 467270 42261 206564 193622 373741
1 1410903 5205778 5137190 84746 281256 20031 451740 24251 1782600 28288 435429 375949 927332
1 2891310 612641 1377228 6003343 1515495 48447 1205235 105350 3042227 192155 442590 463330 4227350
1 3735473 420425 172995 541125 5240408 15472 158803 27719 605071 110571 66994 168756 9610563
1 1005316 3016445 143996 388282 7972852 20518 169439 32768 6273927 56599 31720 93467 1370183
1 5696425 141441 5193696 263427 2785735 29414 79081 29975 563749 96785 155476 242549 1314924
1 883006 293544 5861784 682456 6559696 24511 22614 25038 482145 27337 284429 146814 419889
1 3722288 82729 142348 3100818 7868971 20659 327483 24498 1256186 40932 304048 339886 2562745
1 4668064 884930 263002 383817 156571 16475 5197796 17398 783057 19871 33758 46527 764709
1 9557545 251036 1661617 225795 250018 20414 93167 25736 4727743 54931 678080 388952 4395876
1 5350140 1307464 116690 347156 2441165 35205 1248326 89818 3298807 228300 44533 267545 8941829
1 5810458 1178129 2024892 1627360 2259989 15020 6155894 28658 233188 55797 1094257 601734 2809089
1 3782346 236272 6924707 196143 407962 18136 2852731 19296 4214674 56579 285381 386894 6389662
1 843118 5060097 3187238 8057232 3428117 48202 3419851 66430 89362 85401 354119 387966 1013381
1 3148854 4903703 109475 585369 3311902 15669 588995 85730 359353 121955 116130 275055 6958993
1 650719 308160 439828 103532 512279 16881 1258045 28527 9088847 48636 11086 60057 3069849
1 2680580 212071 492526 4527258 1523828 26020 318131 57822 1229557 126029 680731 508419 838176
1 728030 110293 2367411 1792518 2850888 16629 1115184 19985 4477579 65744 276375 325688 304138
1 262187 225349 421770 9279992 2761281 20951 43592 22767 247021 46205 375880 220629 562594
1 7407367 1300547 86084 79510 375243 16164 21162 19553 2193670 103010 467550 487390 1824908
1 906819 62247 7393523 207426 69446 16854 379536 18046 2600791 20903 136942 93092 258552
1 5967922 654258 1581750 3689948 5992683 30893 5205581 81398 13323 85376 159399 206994 5251862
