scenario N1 N2 N3 N4 N5 ta raa t1 N6 t2 N7 t3 Nanc
1 102394 355757 5982314 10125 9128001 5669182 65051 3005268 0 182 1197 76541 105112
1 12293 36312 208930 221227 1181552 3383503 10268 3324149 0 1177 3146 3525 8605
1 39770 98371 3598330 48867 22287 939843 11877 3485756 0 298 512 13913 20361
1 144230 40281 284600 2050669 124848 1230408 352140 2714295 0 2421 2552 9360 158779
1 61525 1861389 1035933 402761 45815 41011 183810 6230894 0 1203 2201 5717 49750
1 87893 104134 207220 249813 132302 2355288 416611 3338434 0 1932 4759 8476 124364
1 265019 55167 1093136 140552 313396 51733 274651 8115697 0 816 1627 3100 150663
1 75121 25066 2770258 18395 9876366 678084 117426 1382534 0 338 1764 7918 40985
1 28258 20752 6565766 387817 3188238 43673 85548 1810142 0 185 192 3809 33648
1 83005 45146 2671582 7100099 55269 84179 358457 9227210 0 538 2599 8907 67045
1 80007 387121 226235 88099 48613 2895254 12042 9931400 0 801 1898 26591 33939
1 564004 40830 134969 541158 368619 1742908 460662 7801000 0 1605 5318 5423 175052
1 37650 70507 14148 4943727 4421813 248153 19331 993817 0 2165 9687 16000 29908
1 30064 2749183 14836 20280 1038123 13723 76797 4895604 0 1498 3732 6167 22264
1 177367 275771 2335743 271316 999378 1426767 204991 6499863 0 3136 8464 21993 90752
1 397901 1561044 79014 173255 7938385 4135552 601238 6742465 0 2176 10966 11797 239897
1 36139 33776 38306 394576 4692820 2279477 67863 2550146 0 244 1474 6746 19563
1 112859 4546840 7439811 480294 10413 863401 101422 3272970 0 219 715 6748 70366
1 32719 787763 96733 716427 2661282 18090 31071 1045638 0 2425 15197 18908 27257
1 393449 793884 14061 132070 111680 2303294 1267409 6667467 0 218 444 84724 480430
1 59858 1322756 1402180 87325 2152698 540135 45306 6229446 0 590 1023 14331 38784
1 254078 51476 10321 1389581 2045457 1387007 881669 9524357 0 181 236 16045 176442
1 40397 14607 536502 10600 43609 338214 143027 733717 0 1194 1896 2538 43398
1 91591 21495 62819 30386 960392 153484 38559 922598 0 2007 4619 6093 26439
1 24523 343643 47828 3726984 613091 26669 31475 8238316 0 735 2081 3642 20704
1 131547 12163 35799 419276 1516049 36654 101535 6498361 0 236 243 3694 55409
1 144051 3548447 28947 8677525 63780 143528 147358 2119109 0 1191 9614 17383 70345
1 53411 12252 34408 418999 441816 16850 339214 4973529 0 363 722 1368 47423
1 186090 24073 117060 926432 4033132 2038693 225084 4122574 0 179 430 1292 66825
1 243610 3552243 5605446 21419 3241564 60618 191388 8779637 0 152 2292 6411 72479
1 53730 389399 23174 1497036 4096939 1749909 28188 3191017 0 351 363 53752 64197
1 96184 40817 1420841 784865 2446463 2162034 50323 7012533 0 378 8087 17664 44030
1 75643 56107 2047715 832027 176366 129883 72760 5604867 0 614 2633 3621 49836
1 96670 579086 89628 37698 9766331 56693 279206 5075342 0 259 1118 5866 98776
1 160790 4608762 240753 806666 2932426 1155363 45203 6187861 0 3379 23718 61639 86487
1 80446 338980 1102487 51224 25841 1642037 39006 2598523 0 552 741 19344 41445
1 41182 3161250 259155 1167300 596641 51468 65474 2837724 0 280 7556 10485 36519
1 473776 129152 260123 126569 1960540 3518201 339210 2758970 0 2468 5868 27639 140750
1 49632 55572 2955630 14058 5626861 3994308 486566 4547178 0 519 675 14666 89193
1 179033 1481390 3101124 8050763 9825971 1392874 248917 8194494 0 230 277 478 82948
1 232219 58716 5575449 56902 319933 284393 1357940 9482000 0 1636 9183 9771 356315
1 1043994 997952 22262 5779608 184515 7974872 1225956 8022718 0 1171 7707 242789 643476
1 200595 387133 854057 474915 13092 3143610 567299 2237259 0 315 1363 48204 213083
1 52547 103767 19036 175886 146489 46910 117798 2190989 0 2945 3346 5842 68040
1 23219 650057 707038 898511 27329 7924322 21045 2204554 0 287 781 5486 12411
1 86393 497291 547412 2634638 6067177 85149 96441 4581820 0 645 649 2003 39936
