scenario N1 N2 N3 N4 N5 ta raa t1 N6 t2 N7 t3 Nanc
1 621674 112317 109593 63346 150857 4492 0.19628731906414 22462 200334 58211 208017 196943 13670060
1 519184 141433 94363 89851 77193 5435 0.106408499181271 14867 446231 45834 146485 163066 13925740
1 505141 196579 197080 70004 153805 4969 0.197429329156876 30625 351894 74750 249535 197664 8255639
1 559132 148086 194591 79383 75922 2735 0.225936010479927 22383 81254 41028 155564 167729 9590762
1 539645 442493 176198 114336 143781 7799 0.249150037765503 18645 346439 122375 143889 199819 6553263
1 534053 169057 174585 63061 61047 1902 0.186720594763756 13927 167501 67359 170311 172494 11445964
1 582302 150253 137588 58442 85832 3378 0.156213402748108 24971 93263 56905 386989 197471 11435157
1 510441 117242 122428 120924 112262 2772 0.201153352856636 21863 138735 50475 134544 189326 8340208
1 654846 111353 54952 107093 104478 6203 0.0878472700715065 47206 94544 51583 208190 196278 6856679
1 529443 616779 113138 65640 80207 9787 0.113190434873104 13266 289232 60607 120735 145884 12393931
1 527533 131182 111190 162677 113823 460 0.242605060338974 30770 473614 93547 106206 198633 7719963
1 677924 145146 109354 137330 180201 9719 0.0921738147735596 22036 134668 81610 229338 182099 12351133
1 619605 236359 99566 161760 63816 474 0.238350450992584 15017 253131 70818 144103 197920 13529315
1 510031 468865 66323 66892 123152 8878 0.0508027523756027 19089 246705 107030 102466 162576 3962868
1 647179 206370 59314 98015 52880 5373 0.0934130400419235 22604 162032 41170 315339 191503 6298724
1 644914 581872 55947 59616 79130 5887 0.0888043344020844 24205 156814 126326 153501 193740 11253135
1 559732 175646 64834 70034 56151 2944 0.180146872997284 27720 224565 32087 236743 196908 10226686
1 534772 231799 140912 90935 94305 4849 0.206355959177017 20763 170273 61702 120109 119619 7334893
1 506548 149184 141969 117327 57279 8250 0.238108336925507 35425 84806 42510 106531 125291 5074242
1 565587 211896 162887 127453 98385 7152 0.153635963797569 27000 105649 77560 389137 192232 5203892
1 672419 394373 134012 84846 80391 3683 0.113062001764774 20477 328027 104923 101524 178624 8916914
1 514910 155146 186884 75913 107279 3710 0.131380692124367 27166 227892 74904 97388 165914 5042663
1 588830 144211 180895 94479 54417 8083 0.0748467221856117 30833 204538 95667 107947 177850 3850374
1 741390 274377 57875 104860 83073 7756 0.0814328491687775 12306 430595 131629 60681 165163 4051521
1 872777 129277 67045 159136 177432 5450 0.137478142976761 58370 51221 68133 82228 133299 13299804
1 697931 162231 109728 64116 70465 5781 0.211982995271683 26886 480388 72865 403324 181444 11417046
1 670238 100388 199912 61145 62744 6953 0.143438816070557 16719 255311 31934 104851 148907 14155210
1 808399 357307 168845 143503 159309 6954 0.2187140583992 23214 419278 172712 64941 195383 10834112
1 806834 110166 73951 73040 159702 1475 0.248298287391663 17742 255683 84949 106852 173749 10757716
1 621635 160302 104213 61550 147472 7455 0.176879748702049 40732 219015 80759 180013 195268 14555411
1 525582 267514 186318 155382 101173 4031 0.0897427648305893 39652 258765 59334 82223 137702 10969494
1 539559 107125 122547 114596 153212 3502 0.192104399204254 58683 164851 72098 101151 146469 6327280
1 917309 193694 177212 145766 130522 9810 0.0921667143702507 49654 313249 133272 72950 163215 11799915
1 862568 659699 129476 57718 87419 6466 0.182316735386848 37510 149276 72659 115483 191273 14126241
1 724446 135375 99114 139045 145102 643 0.242215782403946 56056 474355 66348 237913 186199 8582494
1 677904 440223 134985 114477 158795 5311 0.0853995531797409 55950 169907 122049 80825 177710 13048033
1 612608 144734 75067 196338 99941 5710 0.0583107657730579 39638 482269 67413 217461 149880 5463545
1 590321 608466 84143 171774 106600 2624 0.155245095491409 33053 268190 103814 225401 196296 9411706
1 557787 345613 63757 198432 77970 2074 0.235755428671837 36128 194990 51834 235567 169879 13176132
1 651495 132538 185786 56288 85006 7722 0.0785080343484879 23800 460626 61273 139307 135655 3821979
1 546909 172281 123968 138632 111328 6138 0.124612398445606 45137 294798 112316 70533 162029 3912549
1 525793 106768 121471 54123 82210 4010 0.0503226183354855 23795 112510 54223 415455 173411 12456950
1 716584 756259 79462 105488 65648 6684 0.104802869260311 15992 296352 48757 121024 181391 8963840
1 547710 279914 81037 93155 142750 565 0.139551728963852 28402 205142 89323 77160 143483 8691762
1 639969 122810 95429 86560 158282 5822 0.158722966909409 19590 187017 38091 285936 197304 13090966
1 779914 216567 112910 73068 128779 4005 0.200216546654701 31641 392301 63904 126569 170099 12516881
1 525574 201525 55319 61570 51067 4075 0.11921226978302 14856 56127 23161 135598 138989 3321635
1 597190 577835 51721 75514 116156 4010 0.239610210061073 59881 307741 118234 79916 187874 7109743
1 560618 116954 117251 111546 120696 911 0.119471445679665 44504 108348 67738 114074 138245 13012982
1 668116 354732 100751 58210 182142 9528 0.230490863323212 31337 258733 90328 134509 191301 8329163
1 700090 136905 134552 103311 51181 4083 0.158981919288635 27507 159765 50240 74317 128581 8725546
1 501920 321809 63340 103268 91812 6236 0.0695610642433167 32621 56390 60499 209918 130103 14504391
1 691559 196340 133321 94590 184887 4908 0.194985210895538 54622 256661 60880 92520 185271 12136301
1 664514 271411 85919 197131 68904 7067 0.181399777531624 21607 399486 61306 71308 142573 4262799
1 726292 194005 95399 69332 57199 9531 0.159901469945908 18886 193531 125695 96283 169178 10128837
1 510893 141481 96826 165100 161206 714 0.183723166584969 21901 454109 56096 110188 141630 8144126
1 693396 206414 92239 88965 52335 3608 0.184501633048058 28479 257276 97218 75393 134550 9596083
1 671161 113858 102810 57067 59669 6724 0.148032084107399 21899 264618 50942 102938 108080 2289336
1 526222 175865 78762 190221 52416 1151 0.0505911186337471 9511 78854 36783 237966 154401 11135367
1 548426 175144 89404 74403 90038 8662 0.160585984587669 15754 435002 58421 65538 94097 8957993
1 607762 281193 50761 194550 51353 2672 0.0653063505887985 12872 121008 35478 140839 187354 10180796
1 556127 237485 60517 98700 94488 645 0.158846467733383 38547 218369 96276 79302 146263 5419089
1 629074 164333 77511 122160 59422 3391 0.187888458371162 23895 124624 79797 433205 178567 10125140
1 531219 100638 190730 143943 77966 3445 0.0595692098140717 19318 387249 77855 131957 165302 10933045
1 566813 105408 67693 57505 94275 2162 0.146552607417107 16443 110276 50663 375665 154963 3610808
1 569291 552298 61364 183653 87698 3139 0.0668351799249649 16899 213999 57832 107162 171106 5622479
1 796897 103008 104984 153646 195101 404 0.157423242926598 51422 81973 69164 94780 160235 7077132
1 527464 239809 75066 168463 148840 7950 0.217598661780357 19152 83359 46086 98616 126207 8970118
1 557149 141162 66117 117417 61936 3398 0.1620953977108 3983 128468 73333 221456 169979 14336275
1 542554 487364 79948 77452 104482 1686 0.0806961357593536 42636 282164 104253 122884 181997 14115390
1 535082 142466 66241 104745 178066 2636 0.210708484053612 39148 230983 53612 90404 136739 3144434
1 696691 342024 74127 57339 113637 9991 0.0837265327572823 30696 72364 48276 77909 120712 12384996
1 603253 140119 136365 57064 100606 2612 0.168849483132362 12826 312795 66123 246833 172255 4218557
