scenario N1 N2 N3 N4 N5 ta raa t1 N6 t2 N7 t3 Nanc
1 505527 405796 7070536 57524 63692 3658 0.0891289860010147 12672 1870133 131480 235284 215899 4661039
1 82178 307779 15750 203687 95331 1776 0.0651199668645859 16311 214747 60915 87821 96347 1803577
1 477135 204497 21105 37194 255442 2484 0.45878803730011 6450 119776 37454 336406 247521 8029925
1 1204737 331221 1292079 750626 118235 233 0.0798766240477562 50458 253720 92131 628290 494665 4097745
1 139425 37316 859010 423125 76114 4657 0.073611281812191 9460 17274 10907 73925 28992 2634743
1 173879 229108 2968095 59228 9407811 5483 0.21098056435585 6486 310936 73203 113268 116530 3482591
1 174528 17741 54084 6277980 45124 491 0.148745104670525 2012 45949 4038 326115 174144 2370263
1 116442 2853707 10378 33498 765591 1515 0.130045980215073 8823 290249 45386 209791 105709 5530629
1 214866 60186 499564 184822 542518 2161 0.0728922635316849 10658 56570 12686 521815 196513 4815267
1 582941 34791 2564545 2157979 25798 373 0.118663020431995 13024 8256953 35190 1007610 404648 2400274
1 43976 1651065 575735 8556912 37490 6002 0.456335097551346 17881 11530 18811 19357 36787 8079929
1 37434 52072 691845 132891 114208 311 0.28794127702713 8381 365070 23593 356550 76602 8254573
1 18353 15718 441452 6873956 17641 155 0.180482640862465 2131 286055 5302 78240 25114 179104
1 50887 14441 67064 297529 961856 1845 0.302634418010712 4472 11102 5154 72289 27157 1009523
1 61315 5371289 3247648 151466 1655379 752 0.278925478458405 11726 121166 23932 41494 54994 7083772
1 169380 23004 228341 50455 104216 184 0.187915727496147 373 64231 3869 196758 129625 6058659
1 60311 26165 564863 13073 16770 191 0.22772578895092 1357 4496610 6986 38035 39704 1221852
1 249726 86756 51529 57424 26891 263 0.0791133716702461 3924 263637 15496 50346 32972 2398597
1 34684 1213133 46350 161786 11281 248 0.214254811406136 1185 4112626 16799 45709 37706 2377683
1 59200 13012 57361 3954675 1053880 4588 0.309492170810699 7233 288645 10129 14664 18191 4490719
1 169525 2768277 17517 131679 36232 1808 0.0709600225090981 14481 1782210 194873 34989 219761 3671366
1 403409 189553 27900 64360 40546 502 0.188557907938957 9381 6370332 235805 193385 319784 9996636
1 240087 423438 17551 101655 1453407 2214 0.104082174599171 12630 108758 34652 18696 47082 3966492
1 542556 2813590 2711536 2501377 685642 96296 0.113669246435165 116785 1417011 369965 443434 691133 8159608
1 34345 5394523 987929 393825 7776471 1980 0.0580059476196766 7926 78057 20803 37562 34868 1555965
1 90925 8827905 231330 4236435 16068 489 0.0607526451349258 3829 46976 9858 130853 115387 881238
1 416663 469399 1522216 13996 270760 996 0.136988595128059 2664 44610 19896 749104 335864 3665551
